web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1615398525-15653,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_nav_0,#66,"https://images-na.ssl-images-amazon.com/images/I/81wJbbk3-CL._AC_UL200_SR200,200_.jpg","HeatnBond Hem Iron-On Adhesive, Super Weight, 3/4 Inch x 8 Yards, White",2,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/HeatnBond-Iron-Adhesive-Super-Weight/dp/B000XZVXNK/ref=zg_bs_arts-crafts_66?_encoding=UTF8&psc=1&refRID=C196XMRPK62KMEZATB4M,4.5 out of 5 stars,$1.97 ,"7,515"
1615398551-15857,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers/zgbs/amazon-devices/ref=zg_bs_nav_0,#66,"https://images-na.ssl-images-amazon.com/images/I/51DsAXMqUSL._AC_UL200_SR200,200_.jpg","Ring Spare Parts Kit for Floodlight Cam, Black",2,https://www.amazon.com/Best-Sellers/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Staging-Product-Not-Retail-Sale/dp/B084PFVML6/ref=zg_bs_amazon-devices_66?_encoding=UTF8&psc=1&refRID=T2E9GNJR8J9CHWVN38J4,4.8 out of 5 stars,$1.99 ,"1,812"
1615398458-15135,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Collectible Currencies,https://www.amazon.com/Best-Sellers-Collectible-Coins/zgbs/coins/ref=zg_bs_nav_0,#58,"https://images-na.ssl-images-amazon.com/images/I/61jfuI36d3L._AC_UL200_SR200,200_.jpg",2009 P Puerto Rico State Quarter Choice Uncirculated,2,https://www.amazon.com/Best-Sellers-Collectible-Coins/zgbs/coins/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Puerto-State-Quarter-Choice-Uncirculated/dp/B015V6U6UG/ref=zg_bs_coins_58?_encoding=UTF8&psc=1&refRID=1P9A464YMVA3DJ65ATVV,5.0 out of 5 stars,$2.37 ,12
1615398458-15129,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Collectible Currencies,https://www.amazon.com/Best-Sellers-Collectible-Coins/zgbs/coins/ref=zg_bs_nav_0,#53,"https://images-na.ssl-images-amazon.com/images/I/61eWMdwuRyL._AC_UL200_SR200,200_.jpg",2009 P American Samoa State Quarter Choice Uncirculated,2,https://www.amazon.com/Best-Sellers-Collectible-Coins/zgbs/coins/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/American-Samoa-Quarter-Choice-Uncirculated/dp/B015V6UEAI/ref=zg_bs_coins_53?_encoding=UTF8&psc=1&refRID=1P9A464YMVA3DJ65ATVV,4.9 out of 5 stars,$2.37 ,19
1615398387-14641,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_nav_0,#74,"https://images-na.ssl-images-amazon.com/images/I/71AuTL5sJNL._AC_UL200_SR200,200_.jpg","Loctite Super Glue Gel Control, 4 Gram Bottle (1364076), Clear, Single",2,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Loctite-Super-Control-Bottle-1364076/dp/B004MEXDH2/ref=zg_bs_industrial_74?_encoding=UTF8&psc=1&refRID=V98CPCQDZJMMRMV6KP0A,4.6 out of 5 stars,$2.86 ,"8,758"
1615398394-14686,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#68,"https://images-na.ssl-images-amazon.com/images/I/81LGyU2aZ3L._AC_UL200_SR200,200_.jpg",Reynolds Kitchens Slow Cooker Liners,2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Reynolds-Kitchens-Premium-Cooker-Liners/dp/B00IE76Q7M/ref=zg_bs_home-garden_68?_encoding=UTF8&psc=1&refRID=9JMBGWFH2SX6KJ3MZ4ZC,4.8 out of 5 stars,$2.98 ,"24,446"
1615398545-15815,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Launchpad,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_nav_0,#75,"https://images-na.ssl-images-amazon.com/images/I/818ZTKhMn9L._AC_UL200_SR200,200_.jpg","DUDE Wipes Flushable Wipes Dispenser, 48 Count (Pack of 1)",2,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Dude-Products-Wipes-Flushable-Dispenser/dp/B00L1GHHV2/ref=zg_bs_boost_75?_encoding=UTF8&psc=1&refRID=9VMK1Z9D4VYF0D284K79,4.7 out of 5 stars,$2.98 ,"25,263"
1615398352-14396,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Musical Instruments,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_nav_0,#83,"https://images-na.ssl-images-amazon.com/images/I/61ThG2UpouL._AC_UL200_SR200,200_.jpg",Fender Strap Blocks (2 Pair),2,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Fender-Strap-Blocks-2-Pair/dp/B00B5LDMH6/ref=zg_bs_musical-instruments_83?_encoding=UTF8&psc=1&refRID=5A761TFMFTBZH5N5DGT7,4.7 out of 5 stars,$2.99 ,"7,021"
1615398443-15064,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Digital Educational Resources,https://www.amazon.com/Best-Sellers/zgbs/digital-educational-resources/ref=zg_bs_nav_0,#89,"https://images-na.ssl-images-amazon.com/images/I/810dYgh3ekL._AC_UL200_SR200,200_.png",Acquired and Inherited Traits,2,https://www.amazon.com/Best-Sellers/zgbs/digital-educational-resources/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Acquired-and-Inherited-Traits/dp/B07WNF8DLQ/ref=zg_bs_digital-educational-resources_89?_encoding=UTF8&psc=1&refRID=T197TC3K645VXQHRRRQD,4.0 out of 5 stars,$3.00 ,6
1615398512-15568,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_nav_0,#83,"https://images-na.ssl-images-amazon.com/images/I/61WlEn8kInL._AC_UL200_SR200,200_.jpg","CURT 21510 Trailer Hitch Pin & Clip with Vinyl-Coated Grip, 5/8-Inch Diameter, Fits 2-Inch…",2,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/CURT-21510-Vinyl-Coated-Diameter-Receiver/dp/B004C6OBBC/ref=zg_bs_automotive_83?_encoding=UTF8&psc=1&refRID=GW9JYTTYF32GE4PTC8M5,4.8 out of 5 stars,$3.08 ,"10,248"
