web-scraper-order,rank,image,title,url,reviews,price
1582906260-4965,#47,https://images-na.ssl-images-amazon.com/images/I/51YtTAuAqRL.jpg,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm,…",https://www.amazon.com/Ring-Spotlight-Battery-Security-Two-Way/dp/B0758L64L9/ref=zg_mw_amazon-devices_47?_encoding=UTF8&psc=1&refRID=HA8PT8MYS6XM4Z96RW7T,4.3 out of 5 stars,$199.00 
1582906262-4977,#59,https://images-na.ssl-images-amazon.com/images/I/613kTHJ4g7L.jpg,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Includes Special Offers,https://www.amazon.com/All-new-Kindle-Paperwhite-Waterproof-Storage/dp/B07745PV5G/ref=zg_mw_amazon-devices_59?_encoding=UTF8&psc=1&refRID=6VMZG7Z8NQN54MF293SQ,4.4 out of 5 stars,$159.99 
1582906262-4997,#79,https://images-na.ssl-images-amazon.com/images/I/616y1qzHetL.jpg,"Kindle Paperwhite E-reader (Previous Generation - 7th) - Black, 6"" High-Resolution Display (300 ppi)…",https://www.amazon.com/Amazon-Kindle-Paperwhite-6-Inch-4GB-eReader/dp/B00OQVZDJM/ref=zg_mw_amazon-devices_79?_encoding=UTF8&psc=1&refRID=6VMZG7Z8NQN54MF293SQ,4.4 out of 5 stars,$55.39 
1582906260-4960,#42,https://images-na.ssl-images-amazon.com/images/I/71hP6o06gdL.jpg,Ring Rechargeable Battery Pack,https://www.amazon.com/Ring-8AB1S7-0EU0-Rechargeable-Battery-Pack/dp/B076JKHDQT/ref=zg_mw_amazon-devices_42?_encoding=UTF8&psc=1&refRID=HA8PT8MYS6XM4Z96RW7T,4.7 out of 5 stars,$29.00 
1582906262-4986,#68,https://images-na.ssl-images-amazon.com/images/I/61hr4djFi2L.jpg,Ring Solar Panel White - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,https://www.amazon.com/Ring-Solar-Panel-White-Compatible/dp/B0781Z3FNX/ref=zg_mw_amazon-devices_68?_encoding=UTF8&psc=1&refRID=6VMZG7Z8NQN54MF293SQ,4.4 out of 5 stars,$49.00 
1582906262-4971,#53,https://images-na.ssl-images-amazon.com/images/I/7178rOrkObL.jpg,Echo Sub - Powerful subwoofer for your Echo - requires compatible Echo device,https://www.amazon.com/Echo-Sub-Powerful-subwoofer-compatible/dp/B0798KPH5X/ref=zg_mw_amazon-devices_53?_encoding=UTF8&psc=1&refRID=6VMZG7Z8NQN54MF293SQ,4.2 out of 5 stars,$129.99 
1582906262-4988,#70,https://images-na.ssl-images-amazon.com/images/I/61SNFaO2UrL.jpg,"All-New Fire HD 10 Tablet (10.1"" 1080p full HD display, 64 GB) – Twilight Blue",https://www.amazon.com/Fire-HD-10/dp/B07KD7FB5L/ref=zg_mw_amazon-devices_70?_encoding=UTF8&psc=1&refRID=6VMZG7Z8NQN54MF293SQ,4.5 out of 5 stars,$139.99 
1582906260-4941,#23,https://images-na.ssl-images-amazon.com/images/I/712UDuT1yRL.jpg,"Ring Video Doorbell Pro, with HD Video, Motion Activated Alerts, Easy Installation (existing…",https://www.amazon.com/Ring-Doorbell-Activated-Installation-existing/dp/B01DM6BDA4/ref=zg_mw_amazon-devices_23?_encoding=UTF8&psc=1&refRID=HA8PT8MYS6XM4Z96RW7T,4.2 out of 5 stars,$249.00 
1582906262-4982,#64,https://images-na.ssl-images-amazon.com/images/I/51EFHQ5gktL.jpg,"Fire 7 Tablet (7"" display, 16 GB) - Twilight Blue",https://www.amazon.com/Fire-Tablet-7/dp/B07HZHJGY7/ref=zg_mw_amazon-devices_64?_encoding=UTF8&psc=1&refRID=6VMZG7Z8NQN54MF293SQ,4.3 out of 5 stars,$39.99 
1582906260-4937,#19,https://images-na.ssl-images-amazon.com/images/I/514mBrHxPnL.jpg,"Fire 7 Tablet (7"" display, 16 GB) - Black",https://www.amazon.com/Fire-Tablet-7/dp/B07FKR6KXF/ref=zg_mw_amazon-devices_19?_encoding=UTF8&psc=1&refRID=HA8PT8MYS6XM4Z96RW7T,4.3 out of 5 stars,$39.99 
